code,win_size,LSTM1,LSTM2,batch_size,epoch
1,6,128,64,12,20
2,12,128,64,12,20
3,24,128,64,12,20
4,48,128,64,12,20
5,6,256,128,12,20
6,12,256,128,12,20
7,24,256,128,12,20
8,48,256,128,12,20
9,6,512,256,12,20
10,12,512,256,12,20
11,24,512,256,12,20
12,48,512,256,12,20
13,6,128,64,24,20
14,12,128,64,24,20
15,24,128,64,24,20
16,48,128,64,24,20
17,6,256,128,24,20
18,12,256,128,24,20
19,24,256,128,24,20
20,48,256,128,24,20
21,6,512,256,24,20
22,12,512,256,24,20
23,24,512,256,24,20
24,48,512,256,24,20
25,6,128,64,32,20
26,12,128,64,32,20
27,24,128,64,32,20
28,48,128,64,32,20
29,6,256,128,32,20
30,12,256,128,32,20
31,24,256,128,32,20
32,48,256,128,32,20
33,6,512,256,32,20
34,12,512,256,32,20
35,24,512,256,32,20
36,48,512,256,32,20
37,6,128,64,64,20
38,12,128,64,64,20
39,24,128,64,64,20
40,48,128,64,64,20
41,6,256,128,64,20
42,12,256,128,64,20
43,24,256,128,64,20
44,48,256,128,64,20
45,6,512,256,64,20
46,12,512,256,64,20
47,24,512,256,64,20
48,48,512,256,64,20
49,6,128,64,12,50
50,12,128,64,12,50
51,24,128,64,12,50
52,48,128,64,12,50
53,6,256,128,12,50
54,12,256,128,12,50
55,24,256,128,12,50
56,48,256,128,12,50
57,6,512,256,12,50
58,12,512,256,12,50
59,24,512,256,12,50
60,48,512,256,12,50
61,6,128,64,24,50
62,12,128,64,24,50
63,24,128,64,24,50
64,48,128,64,24,50
65,6,256,128,24,50
66,12,256,128,24,50
67,24,256,128,24,50
68,48,256,128,24,50
69,6,512,256,24,50
70,12,512,256,24,50
71,24,512,256,24,50
72,48,512,256,24,50
73,6,128,64,32,50
74,12,128,64,32,50
75,24,128,64,32,50
76,48,128,64,32,50
77,6,256,128,32,50
78,12,256,128,32,50
79,24,256,128,32,50
80,48,256,128,32,50
81,6,512,256,32,50
82,12,512,256,32,50
83,24,512,256,32,50
84,48,512,256,32,50
85,6,128,64,64,50
86,12,128,64,64,50
87,24,128,64,64,50
88,48,128,64,64,50
89,6,256,128,64,50
90,12,256,128,64,50
91,24,256,128,64,50
92,48,256,128,64,50
93,6,512,256,64,50
94,12,512,256,64,50
95,24,512,256,64,50
96,48,512,256,64,50
97,6,128,64,12,100
98,12,128,64,12,100
99,24,128,64,12,100
100,48,128,64,12,100
101,6,256,128,12,100
102,12,256,128,12,100
103,24,256,128,12,100
104,48,256,128,12,100
105,6,512,256,12,100
106,12,512,256,12,100
107,24,512,256,12,100
108,48,512,256,12,100
109,6,128,64,24,100
110,12,128,64,24,100
111,24,128,64,24,100
112,48,128,64,24,100
113,6,256,128,24,100
114,12,256,128,24,100
115,24,256,128,24,100
116,48,256,128,24,100
117,6,512,256,24,100
118,12,512,256,24,100
119,24,512,256,24,100
120,48,512,256,24,100
121,6,128,64,32,100
122,12,128,64,32,100
123,24,128,64,32,100
124,48,128,64,32,100
125,6,256,128,32,100
126,12,256,128,32,100
127,24,256,128,32,100
128,48,256,128,32,100
129,6,512,256,32,100
130,12,512,256,32,100
131,24,512,256,32,100
132,48,512,256,32,100
133,6,128,64,64,100
134,12,128,64,64,100
135,24,128,64,64,100
136,48,128,64,64,100
137,6,256,128,64,100
138,12,256,128,64,100
139,24,256,128,64,100
140,48,256,128,64,100
141,6,512,256,64,100
142,12,512,256,64,100
143,24,512,256,64,100
144,48,512,256,64,100
